date,combined_nav,swarm_alpha,swarm_beta,swarm_gamma,swarm_delta,swarm_epsilon,ew_benchmark,btc_benchmark
2024-04-30,1524012.1827735002,1043851.8856434114,143572.93863383413,58457.92619826816,193570.0470249759,84559.38527301062,698193.203221638,895573.3819494599
2024-05-01,1498104.4606901198,1020385.181181848,142812.03853630327,58702.56326985661,191645.2924291012,84559.38527301062,701414.4875812718,860380.0755131717
2024-05-02,1497424.3661027642,1019391.538478386,143194.6935332327,59265.65564408588,191013.0931740487,84559.38527301062,709667.4001507079,873220.963829616
2024-05-03,1516161.166011211,1035085.5366228084,144735.74743123516,59402.82179022291,192377.67489393358,84559.38527301062,733446.9168581925,928848.6783392004
2024-05-04,1524441.4573871142,1038673.7270162052,145431.9718043121,59273.91803314567,196502.4552604406,84559.38527301062,737211.4479089727,943642.3080015762
2024-05-05,1528853.2502697962,1042622.5545903043,145835.26511976356,58924.32102067422,196911.7242660434,84559.38527301062,743603.3152441204,945705.0125644944
2024-05-06,1518332.9836176806,1035412.171744424,146126.2857394231,58232.860146403626,194002.2807144192,84559.38527301062,734719.9404081454,932867.6435325391
2024-05-07,1504843.650560819,1024358.6644093916,145963.983004414,58764.86150999635,191196.75636400623,84559.38527301062,721200.2500874039,920651.3416731238
2024-05-08,1500995.8359242785,1024329.2001429473,144274.45961203845,59397.392986234336,188435.39791004788,84559.38527301062,720806.3717735333,903712.6215748723
2024-05-09,1517894.672964934,1037698.671876269,144721.83321621484,60357.136576742974,190557.6460226965,84559.38527301062,735936.1946719259,931213.6375158607
2024-05-10,1495445.936527457,1019830.9362604659,142872.747963619,60693.7478646988,187489.1191656627,84559.38527301062,712022.0817671954,897876.2632554604
2024-05-11,1498278.719406604,1023043.1953869618,142842.46715537834,60415.26376157199,187418.40782968115,84559.38527301062,709978.9758174039,897890.0519274749
2024-05-12,1500169.3299539385,1024475.1099933385,143040.88966511382,60675.537192794356,187418.40782968115,84559.38527301062,710029.6620339334,907559.3726009997
2024-05-13,1498037.9397535846,1022749.5110342682,143108.37720731102,60202.2584093135,187418.40782968115,84559.38527301062,711945.3222258063,929020.2001881514
2024-05-14,1477160.06231206,1003029.3589806847,142028.1274126964,60124.782815986946,187418.40782968115,84559.38527301062,693664.4616192959,909101.2230595341
2024-05-15,1487888.9424018397,1010087.5746894024,145415.69343210434,60407.88117764093,187418.40782968115,84559.38527301062,732442.2064951948,978734.8244378243
2024-05-16,1472941.5095553335,998737.1992755193,144023.2541742121,60017.21335178762,185604.45748080383,84559.38527301062,731749.0714216563,963434.9947409048
2024-05-17,1488836.7707340533,1012362.754591428,145796.07464257497,59847.181214786455,186271.37501225332,84559.38527301062,750459.2750494017,990319.732043986
2024-05-18,1489241.8569460174,1011544.0841252846,146431.8047429259,59479.43378437006,187227.14902042632,84559.38527301062,749830.8995014874,988679.2839265688
2024-05-19,1482149.6827710997,1006163.1138241377,147661.3149411225,57914.36597743778,185851.5027553912,84559.38527301062,734741.3069487863,978895.4422741781
2024-05-20,1520237.5518985135,1040971.3499742296,149781.65461114392,58625.83154885215,186299.3304912771,84559.38527301062,794083.6464524671,1055250.9924129844
2024-05-21,1521859.7034461193,1042891.0581298237,148146.34870839477,57902.60532181249,189306.82341215137,83612.86787393702,794054.855841012,1035878.4274711878
2024-05-22,1509339.9124540486,1033821.104136933,146280.90856966336,56104.44328339378,189254.8668226777,83878.58964138078,779457.1751373736,1020899.3142082811
2024-05-23,1496149.8723087527,1022017.1902553606,145703.621201131,57067.09079041899,186385.79085556036,84976.179206282,771020.7071953643,1003282.6991469694
2024-05-24,1502522.4381977583,1020332.2500820454,145819.2282711536,56383.319038296264,190027.05545431035,89960.5853519525,780215.916099491,1012093.2567119708
2024-05-25,1511765.7636232926,1025766.2959891128,146127.04704053912,56576.19909332326,194961.55025264886,88334.67124766846,786045.6472312255,1023020.3465846167
2024-05-26,1507131.956599758,1026269.6481647635,144659.87003345104,56221.97490820194,192351.92787038878,87628.53562295264,775399.2469431123,1011974.9856758624
2024-05-27,1518312.4876708828,1035630.329022306,144918.78566020937,56382.4281039057,192931.99893669918,88448.94594776262,790990.5656973325,1024919.8371177054
2024-05-28,1503235.252224018,1025851.8608813697,143322.14651917104,55252.722457826196,191048.08685975798,87760.43550589337,775092.194440476,1008698.0125778356
2024-05-29,1491621.00384342,1016631.4465663951,142920.10072592483,54518.4314756153,189419.0137802202,88132.01129526432,767122.5940734518,998091.6968323909
2024-05-30,1495563.876747652,1019474.0163990112,141885.01957406546,54077.75945118033,192232.701851772,87894.37947162309,766139.379828857,1009713.7588518471
2024-05-31,1492257.5689184454,1013910.3661660624,142275.9886048928,54055.74263751731,193702.04684793198,88313.4246620407,765377.0562492621,996811.4849830032
2024-06-01,1498098.9488263663,1018690.5303155786,142688.9600008833,54055.74263751731,194502.06554753156,88161.65032485577,767725.4220675919,999994.6489567801
2024-06-02,1498770.0619945754,1019397.4777692445,141914.79416345205,54055.74263751731,196090.76104981315,87311.28637454835,763216.7782906811,1000654.312872323
2024-06-03,1515211.408411055,1035827.436924665,141206.18163864728,54055.74263751731,198377.6539721123,85744.39323811297,765570.8338704673,1016209.2041549183
2024-06-04,1570092.5348894964,1081045.0479380414,142020.57650627044,54055.74263751731,203802.78469382873,89168.38311383835,785533.6194537447,1042247.5246917822
2024-06-05,1584525.284958119,1092547.712129351,142944.18365242323,54055.74263751731,207152.55966368903,87825.08687513834,791743.7814578038,1049854.6023478955
2024-06-06,1590521.8050258674,1099603.358179398,142004.42299153112,54055.74263751731,207192.59824474287,87665.68297267775,784357.3715042365,1045044.8366219043
2024-06-07,1542887.348221345,1071702.435262581,139222.5722608981,54055.74263751731,192703.06916505896,85203.52889528971,748941.2329582124,1024152.286939956
2024-06-08,1548363.3230377687,1070956.6923422124,139161.29932709262,54055.74263751731,201332.25764438542,82857.33108656085,739211.614140442,1023608.5863329876
2024-06-09,1546637.2215814102,1065997.1923607863,139161.29932709262,54055.74263751731,204159.76494840113,83263.22230761267,748054.2221010844,1028662.9711775641
2024-06-10,1513156.8646575857,1031533.8424256288,139161.29932709262,54055.74263751731,207202.27899010904,81203.70127723784,738060.3338835441,1026658.5944280631
2024-06-11,1488395.8425620499,1009558.6844825953,139161.29932709262,54055.74263751731,204454.16649405635,81165.94962078828,710924.6121959952,994457.4875121283
2024-06-12,1503813.809452098,1020808.7768535252,139161.29932709262,54055.74263751731,208622.0410131747,81165.94962078828,733230.0246094496,1007885.2309404236
2024-06-13,1481180.5009215237,1004329.2196038255,139161.29932709262,54055.74263751731,202468.28973229995,81165.94962078828,710384.4096498598,985955.7038911524
2024-06-14,1478094.8563366097,1002087.2021735492,139161.29932709262,54055.74263751731,201624.66257766212,81165.94962078828,698265.7288991017,974947.9589411994
2024-06-15,1488862.314440878,1008548.5849445938,139161.29932709262,54055.74263751731,205930.73791088597,81165.94962078828,708389.150104033,977605.0764236418
2024-06-16,1493204.9618631653,1013012.0199871121,139161.29932709262,54055.74263751731,205809.95029065476,81165.94962078828,710500.1167349088,984222.4851268755
2024-06-17,1481568.5804103168,1003435.0923313514,139161.29932709262,54055.74263751731,203750.49649356728,81165.94962078828,688603.7356384809,982025.5285146772
2024-06-18,1468349.4872809714,993046.9829787257,139161.29932709262,54055.74263751731,200919.51271684744,81165.94962078828,654397.9144529497,962093.3973391171
2024-06-19,1471028.2168974252,996708.4302288233,139161.29932709262,54055.74263751731,199936.79508320367,81165.94962078828,661865.1860559752,959428.2605034948
2024-06-20,1462511.4093890905,987182.308881238,139161.29932709262,54055.74263751731,200946.1089224544,81165.94962078828,662121.3094187023,957484.0000562499
2024-06-21,1456348.0027252997,986994.5973434842,139161.29932709262,54055.74263751731,194970.41379641707,81165.94962078828,655892.8994315291,946666.0080027655
2024-06-22,1458832.795943579,985882.8998782428,139161.29932709262,54055.74263751731,198566.90447993795,81165.94962078828,658743.8050232265,948975.6394118028
2024-06-23,1453268.7412635903,981897.7317779326,139161.29932709262,53957.41738876438,197086.34314901233,81165.94962078828,645424.0951894771,933146.0131663058
2024-06-24,1446766.670246273,978317.9041713617,139161.29932709262,53933.72407881786,194187.7930482129,81165.94962078828,640005.6503381042,890264.6278374674
2024-06-25,1449059.9669038998,978107.9115438085,139161.29932709262,54424.76233186215,196200.04408034813,81165.94962078828,658185.7420067826,912820.9336849244
2024-06-26,1448717.5622547,976583.1137849756,139161.29932709262,54535.88053098699,197271.31899085667,81165.94962078828,650668.0084931847,898149.4981954644
