nav,nav_west,nav_east,cash_west,cash_east,pnl_pct,pos_NVDA,pos_QQQ,pos_IBIT,pos_XLE,pos_600519.SS,pos_601899.SS,pos_300750.SZ,date,risk_prob,action,event,scout_action_QQQ,scout_expl_QQQ,scout_action_XLE,scout_expl_XLE,scout_action_NVDA,scout_expl_NVDA,scout_action_601899.SS,scout_expl_601899.SS,scout_action_300750.SZ,scout_expl_300750.SZ,scout_action_600519.SS,scout_expl_600519.SS,veto_log
14070021.43,8559239.95,5510781.49,3173290.71,-3.19,0.0,20332.478053071125,4374.078484662384,0.0,47063.770016961265,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-23,53.8,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13956598.7,8570375.6,5386223.1,3311984.45,-3.19,0.0,19504.271491092917,4293.743758134608,0.0,46106.3167131117,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-26,56.9,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13953480.6,8559084.7,5394395.9,3356618.09,-3.19,0.0,19170.36286378141,4257.792249270302,0.0,46035.37508063399,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-27,57.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13873015.7,8525674.84,5347340.86,3392279.72,-3.19,0.0,18987.956133176027,4237.462444823684,0.0,45716.849656712635,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-28,57.2,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
13995920.47,8577762.59,5418157.88,3422521.0,-3.19,0.0,18653.64740087034,4225.4838994596785,0.0,45750.56235641716,856.9032411376027,251064.23542714407,5833.568957373432,2024-02-29,57.5,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
14135581.47,8685823.18,5449758.29,3472492.59,-3.19,0.0,18133.584912695354,4208.690085131342,0.0,45754.14576962821,856.9032411376027,251064.23542714407,5833.568957373432,2024-03-01,56.5,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
14202666.59,8712836.55,5489830.04,3464283.53,-3.19,0.0,17641.52946464288,4255.207133407825,0.0,46487.46610715094,856.9032411376027,251064.23542714407,5833.568957373432,2024-03-04,56.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
14309057.08,8706023.71,5603033.37,3416519.27,-3.19,0.0,17577.822568974505,4364.19285882234,0.0,46639.29404177779,856.9032411376027,251064.23542714407,5833.568957373432,2024-03-05,56.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
14442023.12,8771758.06,5670265.06,3440410.32,-3.19,0.0,17202.052839468808,4368.393588149371,0.0,46824.517542978974,856.9032411376027,251064.23542714407,5833.568957373432,2024-03-06,56.7,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
14666196.15,8884957.72,5781238.43,3474621.59,-3.19,0.0,16772.896442405505,4361.518490024944,0.0,47031.483155537666,856.9032411376027,251064.23542714407,5833.568957373432,2024-03-07,55.9,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
